Year,Population,Violent crime
1996,265228572,1688540
1997,267783607,1636096
1998,270248003,1533887
1999,272690813,1426044
2000,281421906,1425486
2001,285317559,1439480
2002,287973924,1423677
2003,290788976,1383676
2004,293656842,1360088
2005,296507061,1390745
2006,299398484,1435123
2007,301621157,1422970
2008,304059724,1394461
2009,307006550,1325896
2010,309330219,1251248
2011,311587816,1206005
2012,313873685,1217057
2013,316497531,1168298
2014,318907401,1153022
2015,321418820,1197704